,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Yenagoa,NG,4.9247,6.2642,77.85,81,100,2.68,overcast clouds
79,Cape Town,ZA,-33.9258,18.4232,71.11,64,0,5.75,clear sky
80,Bondoukou,CI,8.0333,-2.8,87.73,44,98,4.5,overcast clouds
81,Narasannapeta,IN,18.4167,84.05,81.03,88,16,11.54,few clouds
82,Savannah Bight,HN,16.45,-85.85,80.74,67,6,7.74,clear sky
83,Souillac,MU,-20.5167,57.5167,79.18,94,75,8.05,moderate rain
84,Hobart,AU,-42.8794,147.3294,57.22,80,40,6.91,scattered clouds
85,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,0,11.5,clear sky
86,Margate,GB,51.3813,1.3862,55.11,80,100,8.99,overcast clouds
87,Te Anau,NZ,-45.4167,167.7167,50.34,81,100,1.57,overcast clouds
88,Rawlins,US,41.7911,-107.2387,65.35,13,0,27.63,clear sky
89,Castro,BR,-24.7911,-50.0119,73.04,50,1,6.29,clear sky
90,Dawlatabad,AF,36.4141,64.9053,56.5,84,78,2.39,broken clouds
91,Jimma,ET,7.6667,36.8333,67.91,58,85,1.3,overcast clouds
92,Bredasdorp,ZA,-34.5322,20.0403,62.53,90,0,8.63,clear sky
93,Brae,GB,60.3964,-1.353,48.07,80,13,8.1,few clouds
94,Severnyy,RU,50.677,36.5532,55.44,100,75,4.47,mist
95,Port Alfred,ZA,-33.5906,26.891,69.19,85,42,3.0,scattered clouds
96,Kodiak,US,57.79,-152.4072,36.91,87,100,9.22,overcast clouds
97,Torbay,CA,47.6666,-52.7314,38.88,69,20,8.05,few clouds
98,Kapaa,US,22.0752,-159.319,73.11,83,100,20.71,overcast clouds
99,Warmbad,NA,-28.45,18.7333,75.9,21,18,13.24,few clouds
100,Angoche,MZ,-16.2325,39.9086,78.93,78,12,8.63,few clouds
101,Acurenam,GQ,1.0322,10.6488,69.37,98,100,3.13,overcast clouds
102,Tiarei,PF,-17.5333,-149.3333,80.62,74,12,4.76,few clouds
103,Faya,SA,18.3851,42.4509,71.71,35,31,4.0,scattered clouds
104,Mackenzie,CA,55.2999,-123.1698,28.62,54,100,8.05,overcast clouds
105,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,8.05,broken clouds
106,Manggar,ID,-2.8833,108.2667,79.02,84,100,5.97,overcast clouds
107,Codrington,AU,-38.2667,141.9667,51.28,95,31,10.74,scattered clouds
108,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,74,75,18.41,broken clouds
109,Vanino,RU,49.0869,140.2543,35.04,89,100,4.56,overcast clouds
110,Hithadhoo,MV,-0.6,73.0833,83.82,70,86,5.7,overcast clouds
111,Bulungu,CD,-4.55,18.6,73.98,94,100,0.36,overcast clouds
112,Sakaiminato,JP,35.55,133.2333,46.38,93,20,2.3,few clouds
113,Atbasar,KZ,51.8,68.3333,55.45,52,88,11.88,overcast clouds
114,Tocopilla,CL,-22.092,-70.1979,69.51,59,52,5.91,broken clouds
115,Matara,LK,5.9485,80.5353,79.48,86,100,6.91,overcast clouds
